"Name","Wallet","Time"
"@Batumi0","0x6602A4cF6C23910610Bb9FAc56589AA55E736bCE","01:00:48"
"@Clansy314495853","0x47712673daBA17cc2ddEAA285A8aCBA33012e643","01:05:21"
"@greg24000","0xC97C85ED41e05c751B65c643a28Fbceef1146dC9","01:10:38"
"@Zackxzackx","0xFaaBdFEcC4CEB7c069357558d503465177DBB8A1","01:14:56"
"@Forbjn","0x6Dd653fE18F5e2b04E3e6A507aABfF563D4924Cf","01:55"
"@CarquetE","0x42D25912dC9945236C646F72d179bFe4547b8Fb1","01:58"
"@Forbjn","0x6Dd653fE18F5e2b04E3e6A507aABfF563D4924Cf","01:59"
"@Forbjn","0x6Dd653fE18F5e2b04E3e6A507aABfF563D4924Cf","02:01"
"@AurlienTag26994","0x5693F9afBc5cE855E63863cD3AEE1877142bB9C6","02:21"
"@yasaiyasan776","0x587c855Ab2A7521dFA4DBBf2a8A959F785A7fc20","02:26"
"@kevin_laroux","0x8c0DA62b2F992eC731cE92Fc30B1B5227D8C14a7","02:28"
"@MedCnft","0x38Ff62379D89b9Df9B4f742ab35E03A098C6f9c4","02:31"
"@Argan_11","0x6A599Cf6038237DA282c77db03649A72445FC6F9","02:33"
"@A5Kervarrec","0x158B97BFC03aF713fafF7c3687c6611Bf259C93C","02:33"
"@hlaws13","0x594b85B4552A9D89A36f3353f02B88B031A59512","02:33"
"@nanashinoannta3","0xf99ead3a5B94cd5dEAa32c5b5120027b5f34Fcd4","02:36"
"@CRYPTOGROWTH2","0xb2E6cAf69b6287692956558eBF113242Ed5a3e6B","02:37"
"@Nev21174443","0xc0188172e16D1F86Faf3801fD526C495f4d3948e","02:37"
"@CryptoKvc","0x741B61deA1765E49B8fD4dF39047719975771C5E","02:37"
"@CreativityVent","0x2506c6D15F2b847cc8DBaBcbC2Daf8Dc1375AC8E","02:38"
"@tiago_cabrita15","0x6509D273e9F5393A6440305f4AE2aB0ED0235a37","02:38"
"@_Scrypt0","0xfe34C95238005cC0d49Cde0cD27a86C2D82a282A","02:41"
"@CryptoAstuce","0xdDdc4bC9d662DE76e79b002670a2785B2381d486","02:42"
"@AlphaGonny","0x42Cf491E0C0969b0713Ba49993cEC1E8f6144DD6","02:42"
"@Art21Ordinals","0xE6fbCa0dd3d6520aE1c6695BAD6Db4eCB44822D9","02:44"
"@BACHIBOUZOUK17","0xA0aFEf53f4fD932693Df99298a12FfF028081460","02:45"
"@airdrop7ledger","0x42711b8b8E35aB63aD447dB80fBfF28264Da2395","02:46"
"@CnftMillo","0x92d95A1e457C3da61B69A9B86183F49ce9D62D8E","02:46"
"@totorarasann","0xDCfeB1bcda8FEf7c1b08d761bf7Ee96A50d4C3BE","02:47"
"@tiago_cabrita15","0x6509D273e9F5393A6440305f4AE2aB0ED0235a37","02:48"
"@lecuong151
","0x3c54ed8fb853504df862fa9fe5647aea1d26ccc7","02:50"
"@shinobiman9892","0x64318481FA18D44237bcA4956ac621992cAE62Da","02:51"
"@TheNoppera","0xD31565DAAe92C3345f7Dd4d550952cC93DB30Ec2","02:52"
"@IcloudA81594","0x64358E5CC5CB4bf9ef3F3ee2d24B42869510120e","02:57"
"@CleytonSouzadeL","0x8A91d71C259B4ea15e468E982167F2Cad125880d","02:58"
"@Zitl3oud1","0xf9f117947958320D3dFe6207D2D849AD55472D94","02:59"
"@HuyenTrang1618","0xeedb07ae31191e8e803685887bf653754f2f6f52","03:00"
"@YLieutaud","0x9fe9b7d01F3890d2EB5EbfBCEfcbCCA8F7645a6d","03:01"
"@Balmas28469","0x3Ace72997F89289e7ABe1394bE8c9699F8Ee689E","03:03"
"@DaveRenta","0x782E7D70113f1f4364C6a3a22544ADCEa6CA3b62","03:06"
"@BAG_Hagag
","0x9f76373846CbB6e2d19F2e8ec2adc1f8a58B01fA","03:07"
"Kheops","0x030462053869121e2C4E65bA9Dd31490E94CB8DF","03:08"
"@AirDrop35641602","0xf8960F84c74c800C90427DaafFeb437F82A9578D","03:08"
"@wattatrick","0x128b16CF53b7Ea103F244e7F79b656fE6761f84F","03:09"
"@MeD1a_92 ","0x02dE5082EA62a4f5E5771Caff13438D99fFF9457","03:09"
"@Forbjn","0x6Dd653fE18F5e2b04E3e6A507aABfF563D4924Cf","03:10"
"MOH0MOS","0x7FA219C24918Dc91B479b1AE4D9B5Ee83B29e1f3","03:13"
"@cryptonono39","0x2BCf3DC34e616f01573a4d6C55b5D3a3921F243b","03:14"
"@floach61892","0xD8962FcEa59949eFE58248DcDcAE5eCA6113BD65","03:14"
"@naftali1096435
@naftali1096435","0xc66a3b05690fd22c4ee3da84ef153b7a009daef2","03:14"
"@DanVy68","0x7bbbcd731cba881f624e05a00d1a9cc2a9c9ea87","03:14"
"@twitwithtrigz ","0x743dc7078c4e935969b7fda502235fccf731b8a8","03:15"
"@ksum_leon","0x1Faf26184c1B8AaCF60c8DCCa49b4719A7222c0a","03:16"
"@wattatrick","0x128b16CF53b7Ea103F244e7F79b656fE6761f84F","03:17"
"@jvaleska","0xA9fD03e154e1B3Cbe88F1b515E7EbDAb2d640b60","03:19"
"@GgGg1667229","0x64E927c85EA4f6584BBdD79a86A5F387652a679d","03:21"
"@_HereForTheTech","0xADAB128bc64b2f0BcfdF1E159bae3F31E3FA51f3","03:22"
"@turluthutu34964","0x576D3B3E266744f99Bae0fEFc4f2780FB57FE2ee","03:22"
"Khephren","0x1c620f06E17B48Bc141173633A5cC48fE1d5682e","03:24"
"@ohisama7722","0x93bf656E487369A81BDA62D73A8c2A68081fE2B0","03:24"
"stockiestd","0xA938a05dFBD9a5DED3DBB6f92c5D6f0C89341657","03:24"
